date,rainfall_pred_mm,horizon_month
2026-01-01,193.8676,1
2026-02-01,186.76220000000012,2
2026-03-01,287.1725000000001,3
2026-04-01,136.96475,4
2026-05-01,111.4502250000003,5
2026-06-01,102.5271500000002,6
2026-07-01,54.15822499999997,7
2026-08-01,68.31979999999997,8
2026-09-01,115.42104999999981,9
2026-10-01,280.64325,10
2026-11-01,319.1548000000007,11
2026-12-01,236.80380000000017,12
2027-01-01,232.8131250000008,13
2027-02-01,180.8032,14
2027-03-01,282.71017499999977,15
2027-04-01,181.4270749999996,16
2027-05-01,119.7795250000003,17
2027-06-01,92.1508,18
2027-07-01,49.292475000000024,19
2027-08-01,65.34705000000005,20
2027-09-01,77.55039999999977,21
2027-10-01,242.91422500000002,22
2027-11-01,460.65227500000225,23
2027-12-01,297.1933000000011,24
2028-01-01,267.48747500000036,25
2028-02-01,207.86707500000026,26
2028-03-01,277.86019999999996,27
2028-04-01,221.53887500000008,28
2028-05-01,155.13415000000012,29
2028-06-01,104.34870000000026,30
2028-07-01,103.40630000000006,31
2028-08-01,58.84949999999996,32
2028-09-01,57.05697499999999,33
2028-10-01,188.7557500000001,34
2028-11-01,232.77969999999982,35
2028-12-01,278.7159750000009,36
2029-01-01,352.3201000000011,37
2029-02-01,190.32635000000016,38
2029-03-01,278.69309999999933,39
2029-04-01,222.44577500000025,40
2029-05-01,143.1991,41
2029-06-01,110.44922500000013,42
2029-07-01,100.23317499999996,43
2029-08-01,51.692349999999976,44
2029-09-01,63.74047500000002,45
2029-10-01,172.99219999999966,46
2029-11-01,255.38487500000002,47
2029-12-01,342.9724000000015,48
2030-01-01,361.96449999999953,49
2030-02-01,261.65935,50
2030-03-01,312.64587500000044,51
2030-04-01,212.7138000000002,52
2030-05-01,210.7458749999992,53
2030-06-01,156.0666749999996,54
2030-07-01,109.52920000000029,55
2030-08-01,101.74392500000015,56
2030-09-01,48.97504999999999,57
2030-10-01,139.02217499999978,58
2030-11-01,210.44320000000036,59
2030-12-01,294.1673499999999,60
